question,bonne_reponse,mauvaise_reponse1,mauvaise_reponse2,mauvaise_reponse3,mauvaise_reponse4,mauvaise_reponse5
"Si vous dessinez l'interface utilisateur (UI) d'un jeu VR, pourquoi est-il déconseillé de l'attacher fixement à l'écran comme un HUD classique (World Space vs Screen Space) ?",Parce qu'un HUD fixe devant les yeux empêche la focalisation et donne rapidement la nausée,Parce que les moteurs de jeu ne savent pas gérer les interfaces en 2D en VR,Parce que le texte s'affiche toujours à l'envers,Parce que cela consomme trop de puissance de calcul pour le GPU,Parce que cela masque le curseur de la manette,"C'est faux, le HUD fixe est la meilleure solution en VR"
Qu'est-ce qu'un 'Shader' en rendu 3D ?,Un petit programme exécuté sur le GPU qui calcule comment les pixels ou les sommets (vertices) doivent être affichés et éclairés,Une ombre statique précalculée et peinte sur le sol,Le code source du jeu compilé pour Android,Une protection contre le piratage des jeux VR,Un filtre matériel posé sur les lentilles du casque,L'interface de l'éditeur du moteur de jeu
Quel concept d'optimisation (très utilisé en VR) consiste à réduire le nombre de polygones d'un objet 3D lorsqu'il est loin du joueur ?,LOD (Level of Detail),Anti-aliasing,Baking,Occlusion Culling,Mipmapping,Tesselation
"En VR, comment s'appelle la technique graphique qui précalcule les ombres et les éclairages statiques sur une texture pour soulager le GPU en temps réel ?",Le Light Baking,Le Ray Tracing en temps réel,Le Deferred Shading,Le Normal Mapping,L'Ambient Occlusion,Le Frustum Culling
Quelle application sociale VR a popularisé l'utilisation d'avatars personnalisés complets et de mondes créés par les utilisateurs depuis 2014 ?,VRChat,Rec Room,Horizon Worlds,AltspaceVR,PlayStation Home,Second Life
"Quel terme technique désigne le retour tactile (vibrations avancées, résistance) dans les manettes ou gilets VR pour simuler le toucher ?",L'Haptique (Retour haptique),La Kinésie,Le Proprioceptif,La Télémétrie,Le Biofeedback,Le Tracking tactile
"Dans le monde de la CAO (comme Autodesk ou FreeCAD), quel format de fichier standard est très utilisé pour exporter des modèles 3D avec leur hiérarchie, matériaux et animations vers des moteurs VR (souvent préféré à l'OBJ) ?",FBX (ou glTF/GLB),STL,DWG,PNG,JSON,MP4
Qu'est-ce que l'Audio Spatialisé en réalité virtuelle ?,"Un traitement sonore simulant l'origine des sons en 3D autour de l'utilisateur, en tenant compte de la rotation de sa tête (HRTF)",Un son enregistré dans l'espace ou à haute altitude,Un format audio sans compression (Lossless),La musique d'ambiance d'un jeu,L'utilisation de haut-parleurs externes au lieu d'écouteurs,La traduction vocale en temps réel dans VRChat
L'Apple Vision Pro a introduit le concept d'Interaction Multimodale sans manettes. Quelles sont les entrées (inputs) principales de ce casque ?,Le suivi des yeux (Eye Tracking) combiné au pincement des doigts (Hand Tracking),La commande vocale exclusive avec Siri,Un clavier virtuel projeté sur le bureau,Des gants haptiques obligatoires,Une bague connectée au pouce,Un pointeur laser tenu à la main
"Quelle entreprise, leader du jeu vidéo sur PC, a développé le casque Index et le jeu révolutionnaire 'Half-Life: Alyx' ?",Valve,Epic Games,Electronic Arts,Ubisoft,Oculus,Microsoft
"En simulation de vol ou de course, comment s'appellent les plateformes motorisées sur lesquelles l'utilisateur s'assoit pour ressentir physiquement les accélérations du jeu VR ?",Des simulateurs de mouvement (Motion Simulators),Des tapis omnidirectionnels,Des fauteuils haptiques passifs,Des CAVES portables,Des gyroscopes humains,Des exosquelettes
Quel problème l'Audio HRTF (Head-Related Transfer Function) cherche-t-il à résoudre ?,Reproduire fidèlement la façon dont le son interagit avec la forme de la tête et des oreilles humaines pour spatialiser le son au casque,Isoler complètement l'utilisateur du bruit du monde réel,Traduire automatiquement la langue parlée par d'autres joueurs,Compresser les fichiers audio pour gagner de la place dans la mémoire du casque,Transformer les fréquences inaudibles en vibrations haptiques,Ajuster le volume en fonction de la fatigue vocale du joueur
"Dans le domaine du rendu graphique, qu'est-ce que l'Anti-Aliasing ?",Une technique visant à lisser les contours crénelés (effet d'escalier) des objets 3D,L'interdiction des pseudonymes (Alias) dans les jeux multijoueurs,L'accélération de l'affichage des textures au loin,La synchronisation entre l'œil gauche et l'œil droit,L'éclairage global de la scène virtuelle,La génération d'avatars IA
Comment appelle-t-on les périphériques (comme le Kat Walk ou le Virtuix Omni) qui permettent à l'utilisateur de marcher et courir physiquement sur place sans avancer dans la pièce ?,Les tapis omnidirectionnels (Omnidirectional Treadmills),Les plateformes de gravité zéro,Les chaussures haptiques,Les trackers corporels (Full Body Trackers),Les stations Lighthouses,Les cybergloves
Qu'est-ce que la technique ASW (Asynchronous SpaceWarp) ou la reprojection en VR ?,"Une méthode logicielle qui synthétise artificiellement des images intermédiaires lorsque le PC n'arrive pas à tenir la cadence (FPS), pour maintenir la fluidité du casque",Le transfert d'un joueur d'un serveur VR à un autre sans écran de chargement,L'envoi des données du casque vers le PC en Wi-Fi,Une attaque de type hacking sur un réseau de jeu multijoueur,La déformation des textures pour simuler un trou noir ou un espace-temps ralenti,L'étalonnage asynchrone des manettes
Quel est le nom de la plateforme d'Apple définissant son écosystème de réalité mixte (incluant le Vision Pro) ?,Spatial Computing (Informatique Spatiale),iReality,Apple Metaverse,MacVR,HoloOS,Retina 3D
"Dans le contexte de la modélisation 3D pour la réalité virtuelle, qu'est-ce qu'une texture 'Normal Map' ?","Une image (souvent bleue/violette) utilisée pour simuler du relief et des détails géométriques sur une surface plate face à la lumière, sans ajouter de polygones",La texture par défaut appliquée par le moteur quand on a oublié d'en mettre une,Une carte (map) de niveau basique pour tester les déplacements,Une image qui gère uniquement la couleur de l'objet (Albedo),Un fichier texte décrivant la position normale du joueur,Une texture qui permet de rendre un objet totalement transparent
"En mathématiques 3D, que représente un vecteur normal (Normale) sur une surface polygonale ?","Un vecteur perpendiculaire à la face du polygone, essentiel pour calculer le rebond de la lumière",Le vecteur indiquant le centre de gravité de l'objet,Un vecteur dont la longueur est toujours de 10 unités,La vitesse de déplacement de la caméra,L'axe de rotation du joueur,Une force de gravité standard appliquée à l'objet
"Quelle start-up, rachetée par Oculus, a standardisé le suivi précis des mains (Hand Tracking) grâce à des capteurs infrarouges de bureau bien avant l'Inside-Out des casques ?",Leap Motion,Kinect,Razer Hydra,Sixense,Magic Leap,NeuroSky
