question,bonne_reponse,mauvaise_1,mauvaise_2,mauvaise_3,mauvaise_4,mauvaise_5
Appareil de mesure du champ magnétique ?,Teslamètre,Voltmètre,Ampèremètre,Oscilloscope,Ohmmètre,Wattmètre
La force de Lorentz est perpendiculaire à quoi ?,La vitesse,La masse,La charge,Le temps,La position,L'accélération
Composant qui s'oppose aux variations de courant ?,Bobine,Condensateur,Résistance,Diode,Transistor,Interrupteur
Courant dû à un aimant en mouvement ?,Induction,Électrostatique,Conduction,Rayonnement,Effet Joule,Auto-allumage
Loi donnant e = -dΦ/dt ?,Loi de Faraday,Loi de Lenz,Loi d'Ohm,Loi d'Ampère,Loi de Gauss,Loi de Coulomb
Unité de l'inductance propre d'une bobine ?,Henry,Farad,Tesla,Weber,Ohm,Volt
Combien d'équations de Maxwell fondamentales ?,Quatre,Deux,Six,Trois,Une,Huit
Source du champ électrique dans Maxwell-Gauss ?,La charge,Le courant,Le magnétisme,Le vide,Le potentiel,La vitesse
La lumière visible appartient à quelle famille ?,Ondes électromagnétiques,Ondes acoustiques,Ondes sismiques,Ondes de choc,Ondes mécaniques,Ondes gravitationnelles
Quel milieu la lumière traverse sans support matériel ?,Le vide,L'eau,L'air,Le verre,Le métal,Le plastique
Vitesse approchée de la lumière dans le vide ?,3×10^8 m/s,3×10^5 m/s,3×10^6 m/s,340 m/s,1500 m/s,3×10^10 m/s
Plans où l'onde a la même valeur (OPPM) ?,Plans d'onde,Plans nodaux,Plans de phase,Plans de coupe,Plans miroirs,Plans focaux
Ordre de grandeur de la longueur d'onde visible ?,Nanomètre,Kilomètre,Mètre,Millimètre,Picomètre,Micromètre
Domaine à fréquence plus haute que le visible ?,Ultraviolets,Infrarouges,Micro-ondes,Ondes radio,Ondes ELF,Ondes submillimétriques
Vecteur indiquant la direction de propagation ?,Vecteur d'onde,Vecteur position,Vecteur vitesse,Vecteur force,Vecteur champ,Vecteur surface
Le vecteur de Poynting est lié au transport de... ?,L'énergie,La charge,La masse,Le courant,Les atomes,Le fluide
Polarisation qui dessine une ligne droite pour E ?,Rectiligne,Circulaire,Elliptique,Aléatoire,Tournante,Nulle
Composant pour polariser une lumière non polarisée ?,Polariseur,Lentille,Miroir,Prisme,Fente,Écran
Polarisation utilisée dans les lunettes 3D cinéma ?,Circulaire,Rectiligne,Aléatoire,Verticale pure,Horizontale pure,Aucune
Indice de réfraction du vide ?,1,0,Infini,1.33,1.5,2
Câble utilisé pour brancher la TV ?,Câble coaxial,Guide rectangulaire,Ligne bifilaire,Fibre optique nue,Guide circulaire,Fil de cuivre simple
Guide utilisant la réflexion totale interne ?,Fibre optique,Guide métallique,Tube creux,Câble torsadé,Ruban supraconducteur,Guide d'onde plan
Onde sous la fréquence de coupure d'un guide ?,Atténuée / Évanescente,Transmise,Amplifiée,Accélérée,Redressée,Doublée
Mode le plus simple dans un guide rectangulaire ?,TE10,TE00,TM00,TEM,TE11,TM11
Vitesse de phase et de groupe en milieu non dispersif ?,Égales,Opposées,Inverses,Nulles,Infinies,Aléatoires
Unité de l'impédance d'onde dans le vide ?,Ohm,Volt,Ampère,Tesla,Henry,Farad
