question,bonne_reponse,mauvaise_reponse1,mauvaise_reponse2,mauvaise_reponse3,mauvaise_reponse4,mauvaise_reponse5
Que cherche-t-on à minimiser lors de l'entraînement d'un modèle de régression linéaire ?,L'erreur quadratique moyenne (MSE),Le nombre de variables d'entrée,Le taux d'apprentissage (learning rate),L'entropie croisée,Le biais initial des données,Le nombre d'itérations de la boucle
"En Machine Learning, qu'est-ce que le 'biais' d'un modèle ?",L'erreur issue d'hypothèses erronées ou trop simplistes dans l'algorithme,La vitesse à laquelle le modèle converge vers zéro,Une technique d'anonymisation des données personnelles,L'inclinaison physique des serveurs de stockage,Le décalage temporel entre la collecte et le traitement,La sensibilité du modèle aux petites fluctuations des données d'apprentissage
Quelle méthode consiste à diviser le jeu de données en 'k' blocs pour évaluer la performance de manière robuste ?,La validation croisée (Cross-Validation),Le bootstrapping,La descente de gradient stochastique,La régularisation L2,Le One-Hot Encoding,Le feature scaling
Qu'est-ce que la matrice de confusion ?,Un tableau croisé évaluant les prédictions d'un modèle par rapport aux classes réelles,Une base de données dont les colonnes ne sont pas indexées,Une erreur mathématique provoquant l'arrêt du programme,Un réseau de neurones sans couche cachée,Un outil de chiffrement des données de test,La perte de précision induite par un GPU défectueux
Quelle technique de régularisation ajoute une pénalité égale à la valeur absolue des coefficients (L1) ?,Lasso,Ridge,ElasticNet,Dropout,Batch Normalization,Gradient Clipping
"Quelle fonction d'activation est définie par f(x) = max(0, x) ?",ReLU,Sigmoïde,Tangente Hyperbolique (Tanh),Softmax,Leaky ReLU,Linear
Quel algorithme est utilisé pour calculer le gradient de la fonction de perte par rapport aux poids du réseau ?,La rétropropagation du gradient (Backpropagation),La décomposition en valeurs singulières (SVD),L'algorithme de Dijkstra,La factorisation de Cholesky,Le clustering hiérarchique,L'échantillonnage de Gibbs
Quel type de couche est spécifiquement conçu pour extraire des caractéristiques spatiales dans les images ?,Couche de convolution (Convolutional Layer),Couche dense (Fully Connected Layer),Couche LSTM,Couche d'attention,Couche de Dropout,Couche d'intégration (Embedding)
"En Deep Learning, à quoi sert la technique du 'Dropout' ?",Désactiver aléatoirement des neurones pendant l'entraînement pour éviter le surapprentissage,Supprimer définitivement les mauvaises données du dataset,Accélérer la vitesse de transfert des données vers le GPU,Changer automatiquement le taux d'apprentissage en cours de route,Arrêter l'entraînement si la perte ne diminue plus,Augmenter artificiellement la résolution des images d'entrée
Quelle fonction d'activation est idéale pour la couche de sortie d'un modèle de classification multiclasse exclusive ?,Softmax,Sigmoïde,ReLU,Linear,Tanh,ELU
Qu'est-ce qu'un auto-encodeur (Autoencoder) ?,Un réseau de neurones conçu pour apprendre un codage compressé des données d'entrée,Un script qui génère automatiquement du code Python pour le Deep Learning,Une IA capable de conduire des véhicules autonomes sans capteurs,Un algorithme de classification de fichiers audio en texte,Une base de données qui s'auto-indexe selon la pertinence des entrées,Un système expert utilisé pour détecter les pannes de processeurs
Quel problème survient lorsque les gradients deviennent infiniment petits lors de la rétropropagation dans un réseau profond ?,La disparition du gradient (Vanishing Gradient),L'explosion du gradient (Exploding Gradient),La saturation du GPU,Le dilemme biais-variance,Le blocage de la mémoire morte,L'effondrement de mode (Mode Collapse)
Quel framework open-source de Deep Learning a été initialement développé par l'équipe de recherche de Facebook (Meta) ?,PyTorch,TensorFlow,Keras,Scikit-Learn,Caffe,Theano
"Dans un réseau de neurones convolutif (CNN), que fait une opération de 'Max Pooling' ?",Elle réduit la dimension spatiale en ne gardant que la valeur maximale d'une zone,Elle multiplie par deux le nombre de canaux de l'image,Elle applique un filtre flou pour lisser les imperfections,Elle calcule la moyenne géométrique de tous les pixels,Elle inverse les couleurs pour augmenter le contraste,Elle ajoute des zéros autour de l'image pour conserver sa taille
Que signifie l'acronyme GAN introduit par Ian Goodfellow en 2014 ?,Generative Adversarial Networks,General Artificial Network,Geometric Algorithm Node,Graphical Analytical Model,Global Adaptive Neuron,Gradient Amplification Network
"Quelle architecture de réseau de neurones, introduite en 2017, repose entièrement sur les mécanismes d'attention ?",Transformer,RNN (Réseau de neurones récurrent),LSTM,ResNet,U-Net,VGG-16
"En NLP, qu'est-ce que la 'lemmatisation' ?","Le processus consistant à ramener un mot à sa forme canonique ou dictionnaire (infinitif, masculin singulier)",Le calcul de la fréquence d'apparition d'un mot dans un texte,La traduction mot à mot d'une phrase vers une autre langue,La suppression pure et simple de la ponctuation d'un texte,Le fait de regrouper des documents similaires par leur thème,La conversion d'un texte écrit en un fichier audio
Que signifie l'acronyme TF-IDF utilisé en recherche d'information et indexation textuelle ?,Term Frequency - Inverse Document Frequency,Text Filtering - Internal Data Format,Tensor Flow - Integrated Data Fusion,Transfer Function - Iterative Deep Filtering,Token Frequency - Index Document Feature,Text Fast - Inverse Digital Framework
Quel est le but principal des techniques de Word Embedding comme Word2Vec ?,Représenter des mots sous forme de vecteurs de nombres réels capturant leur sens sémantique,Vérifier l'orthographe et la grammaire d'un texte automatiquement,Compter le nombre total de mots uniques dans un dictionnaire,Chiffrer les textes pour éviter les fuites de données dans les LLM,Générer des synonymes aléatoires pour chaque verbe d'une phrase,Découper un texte en syllabes pour faciliter la synthèse vocale
"Dans le mécanisme d'attention des Transformers, quels sont les trois vecteurs calculés pour chaque jeton (token) ?","Query, Key, Value","Input, Hidden, Output","Weight, Bias, Gradient","Source, Target, Context","Encoder, Decoder, Attention","Alpha, Beta, Gamma"
Qu'est-ce que la tokenisation en traitement de texte ?,"La segmentation d'une chaîne de caractères en unités plus petites (mots, sous-mots ou caractères)",L'attribution d'une note de sentiment positif ou négatif à une phrase,L'achat de jetons cryptographiques pour financer un cluster d'IA,"L'élimination des mots de liaison inutiles (comme 'le', 'la', 'de')",Le remplacement des noms propres par des identifiants anonymes,La compilation du code source d'un modèle d'IA
Pour quel type d'application l'architecture BERT de Google a-t-elle été révolutionnaire ?,La compréhension contextuelle bidirectionnelle du langage pour la recherche et le masquage,La génération fluide et autonome de longs articles de presse,La reconnaissance faciale en temps réel dans les flux vidéo professionnels,La compression d'images sans perte de qualité,Le calcul de trajectoires pour la robotique industrielle,La détection d'anomalies dans les réseaux de télécommunication
Quelle architecture de réseau a introduit les connexions résiduelles (skip connections) pour entraîner des réseaux très profonds (plus de 100 couches) ?,ResNet,AlexNet,LeNet-5,YOLO,Inception,MobileNet
Pour quel type de tâche de vision par ordinateur l'algorithme YOLO (You Only Look Once) est-il particulièrement réputé ?,La détection d'objets en temps réel (localisation et classification simultanées),La colorisation automatique de vieux films en noir et blanc,La génération d'images réalistes à partir de descriptions textuelles,La compression de fichiers vidéo au format MP4,La reconstruction 3D de monuments à partir d'une seule photo,Le masquage des visages pour la protection de la vie privée
"En vision par ordinateur, quelle est la différence entre la classification d'image et la segmentation sémantique ?","La classification attribue un label globale à l'image, la segmentation labellise chaque pixel",La classification ne fonctionne que sur les images en niveaux de gris,La segmentation sémantique nécessite obligatoirement deux caméras (stéréoscopie),"La classification est un algorithme non supervisé, contrairement à la segmentation",La segmentation sémantique supprime l'arrière-plan de l'image de manière définitive,"Il n'y a aucune différence, ce sont deux termes synonymes en IA"
Quel dataset historique contenant plus de 14 millions d'images étiquetées a propulsé l'essor du Deep Learning via sa compétition annuelle ?,ImageNet,MNIST,CIFAR-10,COCO (Common Objects in Context),IMDb Dataset,Kaggle Titanic
Qu'est-ce que l'augmentation de données (Data Augmentation) en vision par ordinateur ?,Appliquer des transformations géométriques ou colorimétriques aux images pour enrichir artificiellement le dataset,Télécharger illégalement des images supplémentaires sur internet,Augmenter la taille mémoire de la carte graphique pour stocker plus de pixels,Faire appel à des prestataires humains pour annoter plus vite les images,Interpeler l'algorithme pour qu'il devine les pixels manquants d'une photo rognée,Augmenter la luminosité de l'écran lors du processus d'évaluation
Quelle technique consiste à réutiliser les poids d'un modèle pré-entraîné sur un grand dataset pour accomplir une nouvelle tâche similaire ?,L'apprentissage par transfert (Transfer Learning),L'apprentissage par renforcement,La distillation de connaissances,L'élagage de modèle (Pruning),La quantification des poids,Le Fine-Tuning Zero-Shot
"Dans l'apprentissage par renforcement, quels sont les deux composants principaux qui interagissent en boucle ?",L'agent et l'environnement,Le neurone et la synapse,Le superviseur et l'étudiant,Le classifieur et le régresseur,La fonction de coût et le taux d'apprentissage,Le générateur et le discriminateur
Quelle équation mathématique fondamentale est à la base des algorithmes de programmation dynamique et de Q-Learning ?,L'équation de Bellman,L'équation de Navier-Stokes,L'équation de Schrödinger,Le théorème de Bayes,L'identité de Euler,La transformée de Fourier
"Dans le contexte de l'apprentissage par renforcement, qu'est-ce que le dilemme 'Exploration vs Exploitation' ?",Choisir entre tester de nouvelles actions inconnues ou capitaliser sur les actions déjà connues comme rentables,Choisir entre stocker les données sur un disque local ou dans le cloud,Trouver le bon équilibre entre l'utilisation du CPU et du GPU de la machine,Décider si le modèle doit être déployé en open-source ou commercialisé directement,Équilibrer le nombre de données textuelles par rapport aux données d'images,Déterminer si l'agent doit se déplacer rapidement ou économiser sa batterie
Quel algorithme d'optimisation ajuste les poids d'un réseau en calculant le gradient sur un seul échantillon (ou mini-batch) à la fois ?,La descente de gradient stochastique (SGD),La méthode de Newton-Raphson,L'algorithme du simplexe,La descente de gradient par lots (Batch Gradient Descent),L'optimiseur RMSprop,Le recuit simulé
Quel terme désigne la récompense cumulée différée et actualisée par un facteur de décote (gamma) en apprentissage par renforcement ?,Le retour (Return),Le gain instantané,La value function scalaire,La politique optimale (Policy),Le score d'erreur résiduel,La pénalité de transition
Que signifie le 'G' de l'acronyme GPT développé par OpenAI ?,Generative,General,Global,Geometric,Gradient,Graphical
"En IA générative textuelle, qu'est-ce qu'une 'hallucination' ?",Le fait que le modèle génère avec assurance des affirmations fausses ou infondées,Un bug graphique affichant des couleurs anormales sur l'interface,Une surchauffe critique des processeurs de calcul,L'apparition de caractères invisibles dans le code source Python,Le chiffrement malveillant des réponses par un pirate informatique,La répétition infinie du même mot par l'algorithme
Quelle technique utilise des commentaires ou classements humains pour aligner le comportement des LLM sur les préférences des utilisateurs ?,RLHF (Reinforcement Learning from Human Feedback),RAG (Retrieval-Augmented Generation),Fine-Tuning supervisé classique,Prompt Engineering avancé,Quantification par arbres binaires,Distillation de connaissances par paires
Quelle méthode permet à un LLM d'accéder à des bases de données externes pour enrichir sa réponse sans réentraînement ?,RAG (Retrieval-Augmented Generation),RLHF,Few-Shot Learning,Chain of Thought,Embedding statique,Fine-Tuning LoRA
"Quel grand texte réglementaire européen, adopté récemment, vise à encadrer l'usage de l'IA selon son niveau de risque ?",L'AI Act,Le RGPD,Le Digital Services Act (DSA),Le traité de Lisbonne numérique,La charte de Dartmouth v2,L'ISO 27001 AI Extension
Qu'est-ce que l'alignement de l'IA (AI Alignment) ?,Le domaine de recherche visant à s'assurer que les objectifs de l'IA correspondent aux valeurs et intentions humaines,Le fait de synchroniser les horloges internes de plusieurs serveurs GPU,L'alignement du texte généré à gauche ou à droite sur l'écran de sortie,Le tri des vecteurs de mots par ordre alphabétique dans la mémoire vive,La mise en conformité des cartes mères avec les normes de connectique actuelles,Le processus de suppression des variables redondantes dans une matrice
"En traitement d'images, quel filtre est couramment utilisé pour détecter les contours (edges) ?",Le filtre de Sobel (ou Canny),Le filtre de Kalman,Le filtre anti-crénelage (Anti-aliasing),Le filtre de Bloom,Le filtre Gaussien simple,Le filtre de Fourier inverse
