question,bonne_reponse,mauvaise_reponse1,mauvaise_reponse2,mauvaise_reponse3,mauvaise_reponse4,mauvaise_reponse5
Le célèbre gestionnaire de versions 'Git' a été créé en 2005 par :,Linus Torvalds,Chris Wanstrath (Fondateur de GitHub),Mark Zuckerberg,Steve Jobs,Bram Moolenaar (Créateur de Vim),John Resig (Créateur de jQuery)
"Qui a écrit le livre culte de la culture cyberpunk 'Neuromancien', inventant au passage le terme 'Cyberspace' ?",William Gibson,Philip K. Dick,Isaac Asimov,Neal Stephenson,Arthur C. Clarke,Ray Bradbury
"Quel est le nom de la plus célèbre conférence de hackers (et la plus ancienne encore active), organisée annuellement à Las Vegas depuis 1993 ?",DEF CON,Black Hat,Chaos Communication Congress,RSA Conference,Hack-It,Pwn2Own
"Quel est le fameux 'Konami Code', célèbre cheat code de l'histoire du jeu vidéo ?","Haut, Haut, Bas, Bas, Gauche, Droite, Gauche, Droite, B, A","A, B, A, C, A, B, B","Gauche, Haut, Droite, Bas, X, Y","Haut, Bas, Haut, Bas, A, B, Select, Start","L1, L2, R1, R2, Haut, Bas, Gauche, Droite","Bas, Droite, A, C, B, Gauche, Haut"
Qui est considéré comme le premier créateur d'un 'Easter Egg' (œuf de Pâques) dans un jeu vidéo avec le jeu Adventure sur Atari 2600 ?,Warren Robinett,Shigeru Miyamoto,Nolan Bushnell,Alexey Pajitnov,John Romero,Hideo Kojima
"En 1996, quel jeu d'ID Software a popularisé le genre du FPS (First Person Shooter) en 3D et le jeu en réseau (Deathmatch) ?",Quake,Doom,Wolfenstein 3D,Half-Life,Duke Nukem 3D,Unreal Tournament
"Dans le jeu Portal de Valve, que dit la fameuse citation concernant le gâteau ?",The cake is a lie (Le gâteau est un mensonge),The cake is poisoned (Le gâteau est empoisonné),You must eat the cake (Tu dois manger le gâteau),There is no cake (Il n'y a pas de gâteau),The cake is for the winner (Le gâteau est pour le vainqueur),I baked you a cake (Je t'ai fait un gâteau)
Qu'est-ce qu'un 'Speedrun' dans le domaine des jeux vidéo ?,"Finir un jeu le plus rapidement possible, en exploitant souvent des bugs ou des glitches",Un type de jeu de course futuriste,Jouer avec la vitesse du jeu accélérée par 2,Finir le jeu sans tuer aucun ennemi,Faire le meilleur score possible en un temps limité,Courir en permanence dans le jeu sans s'arrêter
Que signifie le sigle USB ?,Universal Serial Bus,Unified System Bridge,Universal Socket Block,User Serial Base,Unlimited Storage Bandwidth,Under System Boot
"Quelle table de caractères historique (datant de 1963) associe des nombres à 128 caractères (lettres de l'alphabet latin, chiffres, symboles) sur 7 bits ?",ASCII,UTF-8,ISO-8859-1,EBCDIC,Unicode,ANSI
"Quel format de compression d'image avec perte, très utilisé sur le web, a été créé par le 'Joint Photographic Experts Group' en 1992 ?",JPEG,PNG,GIF,BMP,TIFF,WebP
Quelle entreprise a développé la disquette (floppy disk) dans les années 70 ?,IBM,Apple,Microsoft,Sony,Commodore,HP
Quel est le rôle d'un fichier 'robots.txt' à la racine d'un site web ?,Indiquer aux robots d'indexation (crawlers) des moteurs de recherche quelles pages ils peuvent ou ne peuvent pas analyser,Stocker les mots de passe des administrateurs du site,Bloquer les attaques DDoS automatiquement,Fournir le code source HTML aux navigateurs,Définir la charte graphique du site web,Créer un bot de discussion (chatbot) pour les visiteurs
Qu'est-ce que le 'Rubber Duck Debugging' (Débogage du canard en plastique) ?,Une méthode consistant à expliquer son code ligne par ligne à un objet inanimé pour trouver l'erreur soi-même,Un algorithme de tri très lent utilisé pour tester les processeurs,Un logiciel qui corrige automatiquement les erreurs de syntaxe,Le fait de noyer un serveur sous les requêtes pour tester sa résistance,Une attaque pirate exploitant les ports USB,Une blague de développeur consistant à insérer des canards cachés dans les interfaces
"En 10 jours, quel langage de programmation incontournable du web a été conçu par Brendan Eich en 1995 chez Netscape ?",JavaScript,Java,PHP,Python,Ruby,HTML
Quel était le prénom du premier assistant virtuel (un trombone) très agaçant de Microsoft Office 97 ?,Clippy,Bob,Rover,Cortana,Merlin,Links
"Quel est l'acronyme de GNU, choisi par Richard Stallman ?",GNU's Not Unix (Un acronyme récursif),General Network Utility,Global Node Union,Great New Unix,Graphical Native User,Gigabit Network Upload
"Dans le langage de la culture informatique, qu'est-ce qu'une attaque 'Zero-Click' ?",Un piratage qui compromet un appareil sans aucune interaction (aucun clic) de la part de l'utilisateur,Une attaque qui rend la souris inutilisable,Un script qui clique automatiquement sur des publicités,Un virus qui se propage via les claviers sans fil,Le fait de bloquer le bouton d'allumage d'un PC,Une publicité impossible à fermer sur le web
Quelle célèbre phrase est classiquement affichée à l'écran lors du tout premier programme d'un développeur débutant ?,Hello World!,Test 1 2 3,System Ready,It works!,Bonjour le monde,Starting...
Quel superordinateur a battu le champion du jeu télévisé Jeopardy! (Ken Jennings) en 2011 ?,IBM Watson,IBM Deep Blue,Google AlphaGo,HAL 9000,Cray-1,Skynet
Qu'était la 'Bulle Internet' (Dot-com bubble) au début des années 2000 ?,"Une spéculation boursière massive et déraisonnable sur les startups liées à Internet, suivie d'un krach majeur",Une saturation mondiale de l'espace de stockage des serveurs web,Le design très arrondi des premiers écrans et ordinateurs Apple,Le passage obligatoire au format d'adresse IPv6,Un virus informatique caché sous forme de bulles de savon,L'engouement passager pour les jeux virtuels en 3D
Quel standard de clavier est massivement utilisé dans les pays francophones par opposition au QWERTY international ?,AZERTY,QWERTZ,Dvorak,BÉPO,Colemak,Maltron
Que décrit le 'Paradoxe de Moravec' en robotique et intelligence artificielle ?,"Ce qui est facile pour un humain (marcher, voir) est très difficile pour une IA, et ce qui est difficile pour un humain (maths complexes) est facile pour une IA",Un robot ne peut pas faire de mal à un être humain,"Plus un robot ressemble à un humain, plus il nous fait peur",Une IA finira toujours par prendre le contrôle de son créateur,La puissance de calcul des robots n'augmentera jamais assez vite,Les humains préfèrent interagir avec des robots plutôt qu'avec d'autres humains
