question,bonne_reponse,mauvaise_reponse1,mauvaise_reponse2,mauvaise_reponse3,mauvaise_reponse4,mauvaise_reponse5
Quel est le port réseau standard par défaut utilisé pour le protocole SSH ?,22,21,80,443,3306,53
Quelle est l'utilité du protocole DNS ?,Traduire des noms de domaine (ex: google.com) en adresses IP compréhensibles par les machines,Chiffrer le trafic web de bout en bout,Distribuer automatiquement des adresses IP aux appareils d'un réseau,Transférer des fichiers volumineux entre deux serveurs,Bloquer les connexions non autorisées entrantes,Gérer l'envoi de courriers électroniques
Combien de couches comporte le modèle de référence réseau OSI ?,7,4,5,8,3,12
En quoi consiste une attaque MITM (Man In The Middle) ?,L'attaquant s'intercepte secrètement entre deux parties pour écouter ou altérer leurs communications,Inonder un serveur de requêtes jusqu'à le faire planter,Envoyer un e-mail frauduleux en se faisant passer pour une banque,Exploiter une faille dans le processeur de l'ordinateur,Deviner un mot de passe en utilisant un dictionnaire d'anciens mots de passe,Effacer les logs d'un serveur après l'avoir compromis
Qu'est-ce qu'une attaque DDoS (Distributed Denial of Service) ?,Submerger une cible de trafic illégitime provenant de multiples sources pour la rendre indisponible,Voler la base de données client d'une entreprise via une faille web,Chiffrer les disques durs de la cible et demander une rançon,Prendre le contrôle de l'ordinateur de la victime via une clé USB piégée,Injecter du code JavaScript malveillant sur la page d'accueil d'un site,Contourner l'antivirus de la machine cible pour installer un rootkit
"Sur un réseau local, à quoi sert le protocole ARP (Address Resolution Protocol) ?",Faire la correspondance entre une adresse IP logique et une adresse MAC physique,"Distribuer les configurations réseau (IP, masque, passerelle) aux nouveaux postes",Vérifier si une machine distante est allumée avec un 'ping',Empêcher les boucles réseau sur les switchs,Chiffrer les mots de passe avant de les envoyer au routeur,Traduire l'IP locale en IP publique pour aller sur Internet
Qu'est-ce que l'usurpation d'adresse IP (IP Spoofing) ?,Créer des paquets IP avec une fausse adresse IP source pour masquer l'identité de l'expéditeur,Voler l'adresse IP d'un voisin pour naviguer gratuitement sur Internet,Attribuer plusieurs adresses IP à la même carte réseau,Bloquer l'adresse IP d'un concurrent sur un routeur,Scanner toutes les adresses IP d'un réseau pour trouver des ports ouverts,Convertir une adresse IPv4 en adresse IPv6
"Quel célèbre outil réseau, symbolisé par un aileron de requin, est un analyseur de trames utilisé pour 'sniffer' le trafic ?",Wireshark,Nmap,Metasploit,John the Ripper,Nessus,Netcat
Quel est le principe d'un VPN (Virtual Private Network) ?,Créer un tunnel chiffré entre le client et le serveur pour protéger les données en transit,Remplacer l'antivirus local de l'ordinateur,Accélérer la vitesse de la connexion Internet,Empêcher physiquement le piratage d'un routeur Wi-Fi,Héberger des sites web anonymes sur le Dark Web,Scanner les ports ouverts sur une machine distante
"Dans le modèle TCP/IP, TCP se différencie d'UDP car il est :",Orienté connexion et garantit la bonne réception des paquets,Plus rapide mais sans aucune vérification d'erreur,Utilisé uniquement pour le transfert de fichiers vidéo,Restreint aux réseaux locaux (LAN),Entièrement chiffré par défaut,Incapable de gérer des adresses IPv6
En quoi consiste une attaque par Injection SQL (SQLi) ?,Insérer des commandes malveillantes dans un champ de saisie pour manipuler la base de données du site,Exécuter un script JavaScript sur l'ordinateur de la victime,Surcharger la base de données avec des millions de requêtes factices,Écouter le trafic entre le client et le serveur pour voler des identifiants,Chiffrer le code source du site web,Deviner le mot de passe administrateur par force brute
Qu'est-ce qu'une faille XSS (Cross-Site Scripting) ?,L'injection de code exécutable (souvent JavaScript) dans une page web qui sera exécuté par le navigateur de la victime,Une erreur de configuration des droits d'accès sur le serveur web,Le contournement d'un pare-feu matériel,L'extraction non autorisée de tables depuis une base SQL,La falsification de l'adresse IP de l'attaquant,Le vol du disque dur physique hébergeant le site
À quoi correspond l'acronyme OWASP ?,"Open Web Application Security Project, une fondation listant les failles web les plus critiques",Office of Web Administration and Security Protocols,Overpowered Web Attack Simulation Program,Online Wireless Access Security Portal,Operating Web Analytics and System Protection,Organization for Worldwide Anti-Spam Protection
Qu'est-ce que le 'Directory Traversal' (ou Path Traversal) ?,L'exploitation d'une faille web pour remonter dans l'arborescence du serveur avec des séquences '../' et lire des fichiers non autorisés,Une technique d'énumération des sous-domaines d'une entreprise,Un scan rapide des ports ouverts sur un routeur,L'effacement complet des répertoires d'un serveur par un script malveillant,Le fait de rediriger un utilisateur vers un site clone (Phishing),Le chiffrement du dossier de démarrage (boot) de Windows
À quoi sert un WAF (Web Application Firewall) ?,Analyser et filtrer le trafic HTTP/HTTPS pour protéger les applications web des attaques comme l'injection SQL ou le XSS,Protéger physiquement les serveurs contre les incendies,Créer des sauvegardes automatiques des bases de données web,Accélérer le temps de chargement des images sur un site,Empêcher les employés d'aller sur les réseaux sociaux au bureau,Générer automatiquement des certificats SSL/TLS
"En HTTP, que signifie le code de statut 403 ?",Forbidden (Accès refusé),Not Found (Page introuvable),Internal Server Error (Erreur serveur),OK (Requête réussie),Bad Request (Requête mal formée),Moved Permanently (Redirection)
Quelle attaque (CSRF - Cross-Site Request Forgery) a pour but de :,Forcer le navigateur de la victime à exécuter une action non voulue sur un site où elle est déjà authentifiée,Voler directement le mot de passe de la victime dans la base de données,Faire planter le serveur web avec trop de requêtes synchronisées,Intercepter les e-mails de la victime,Changer l'adresse IP du serveur DNS,Injecter un rootkit dans le noyau Linux du serveur
"Dans le contexte des tests d'intrusion (Pentest) web, quel est le logiciel proxy le plus utilisé pour intercepter et modifier les requêtes HTTP ?",Burp Suite,Ghidra,IDA Pro,Nmap,Cisco Packet Tracer,Hashcat
Qu'est-ce que le 'Session Hijacking' (Détournement de session) ?,L'attaquant vole le cookie de session de la victime pour se connecter à sa place sans avoir besoin du mot de passe,L'attaquant prend le contrôle de l'écran de la victime à distance,L'attaquant sature la session utilisateur pour provoquer un déni de service,Le fait de cloner la carte SIM du téléphone de la victime,L'usurpation d'adresse MAC sur le réseau local,Le déchiffrement d'une clé RSA par factorisation
Qu'est-ce qu'une attaque SSRF (Server-Side Request Forgery) ?,Forcer le serveur web vulnérable à effectuer une requête vers une ressource interne ou externe en son propre nom,Falsifier l'identité de l'administrateur système,Exécuter un fichier shell directement dans le navigateur,Supprimer les logs du pare-feu applicatif,Modifier le code source côté client (HTML/CSS),Intercepter les trames Wi-Fi du serveur
Qu'est-ce qu'une vulnérabilité de type 'Buffer Overflow' (Dépassement de tampon) ?,"L'écriture de données au-delà de la zone mémoire allouée, pouvant écraser des données critiques ou détourner le flux d'exécution",Le remplissage du disque dur jusqu'à ce que le système plante,Une surcharge des tampons du clavier rendant la saisie impossible,Une erreur de syntaxe dans un script Bash,L'envoi de trop de paquets ICMP vers un routeur,La corruption des secteurs de boot du disque système
"Pour contrer les exploits mémoire, que fait le mécanisme ASLR (Address Space Layout Randomization) ?",Il place aléatoirement les zones de données en mémoire pour empêcher l'attaquant de deviner les adresses d'exécution,Il empêche l'exécution de code dans la pile (Stack),Il chiffre la mémoire vive (RAM) en temps réel avec AES,Il compile le programme dans un langage différent à chaque lancement,Il limite le nombre d'octets qu'un utilisateur peut copier-coller,Il demande un mot de passe avant chaque appel système
Que signifie la protection mémoire 'NX bit' (No-eXecute) ?,"Elle marque certaines zones de la mémoire, comme la pile, comme non exécutables pour bloquer les shellcodes",Elle empêche la fermeture inopinée du programme cible,Elle détruit le fichier exécutable s'il détecte une modification,Elle interdit l'utilisation de la commande 'exec()' en langage C,Elle bloque les connexions réseau sortantes du processus,Elle supprime l'en-tête ELF du binaire
"En Reverse Engineering, quel outil développé par la NSA permet de désassembler et décompiler du code binaire (et est open-source) ?",Ghidra,Nmap,Metasploit,Gobuster,SQLmap,Nikto
"Sur un système Linux, dans quel fichier se trouvent généralement les hashs des mots de passe des utilisateurs ?",/etc/shadow,/etc/passwd,/etc/groups,/var/log/auth.log,/bin/bash,/boot/grub/grub.cfg
"Sur Linux, que provoque la commande 'chmod 777 fichier' ?","Elle donne les droits de lecture, écriture et exécution à tout le monde (Propriétaire, Groupe, Autres)",Elle supprime le fichier en toute sécurité,Elle donne uniquement le droit de lecture à l'administrateur,Elle change le propriétaire du fichier,Elle masque le fichier pour qu'il n'apparaisse plus avec 'ls',Elle chiffre le fichier avec un algorithme 777 bits
Qu'est-ce que l'escalade de privilèges (Privilege Escalation) ?,Le fait d'exploiter une faille pour passer d'un compte utilisateur standard à un compte administrateur (root),L'augmentation de la bande passante allouée à un attaquant,Le fait de donner délibérément ses mots de passe à un pirate,L'envoi massif de spams pour surcharger un serveur de messagerie,Le contournement d'un portail captif Wi-Fi,Le piratage d'une base de données cloud
Qu'est-ce qu'un Rootkit ?,Un logiciel malveillant conçu pour dissimuler sa présence et celle d'autres malwares tout en maintenant un accès privilégié au système,Un outil de création d'images disques pour le forensique,Un système d'exploitation conçu spécialement pour les hackers,Un pare-feu matériel installé en bordure de réseau,Une trousse à outils physique pour réparer les serveurs,Un script Bash qui met à jour les paquets Linux
Quelle est la signature classique (Magic Number) au début d'un fichier exécutable ELF sous Linux ?,"0x7f suivi des lettres 'E', 'L', 'F'",MZ,PK,0xDEADBEEF,BM,0x00 0x00 0x00 0x00
"Pour contourner la protection NX, les attaquants utilisent souvent des attaques ROP (Return-Oriented Programming). De quoi s'agit-il ?",Détourner le flux d'exécution en enchaînant des petits bouts de code déjà présents dans le binaire (les 'gadgets'),Désactiver matériellement la protection NX via une surtension du processeur,Faire une injection SQL pour créer une nouvelle table,Écrire un nouveau code malveillant sur le disque dur et l'exécuter en tant que service,Deviner la clé de chiffrement du système d'exploitation,Attendre que l'ordinateur redémarre pour injecter le code dans le BIOS
"Quel est le triptyque de base de la sécurité de l'information, souvent résumé par l'acronyme anglais CIA ?","Confidentialité, Intégrité, Disponibilité (Availability)","Contrôle, Identification, Authentification","Cryptographie, Informatique, Anonymat","Cyber, Intelligence, Algorithmique","Centralisation, Inspection, Audit","Connexion, Isolement, Antivirus"
"Dans le milieu de la cybersécurité, quelle est la mission de la 'Blue Team' ?","Défendre les systèmes d'information, détecter et répondre aux incidents de sécurité",Simuler des attaques pour tester les défenses,Développer de nouveaux algorithmes de chiffrement asymétrique,Gérer les relations publiques de l'entreprise après un piratage,Pirater les entreprises concurrentes pour faire de l'espionnage industriel,Réparer physiquement les câbles réseau endommagés
Qu'est-ce qu'un SIEM (Security Information and Event Management) ?,"Une solution logicielle qui centralise, corrèle et analyse les journaux (logs) de sécurité de toute l'entreprise en temps réel",Un type de pare-feu applicatif web (WAF) très avancé,Un antivirus fonctionnant exclusivement dans le cloud,Un protocole de routage chiffré pour les réseaux étendus,Un groupe de hackers éthiques certifiés par l'État,Un scanner de vulnérabilités pour les applications mobiles
Quel malware chiffre les fichiers de l'ordinateur infecté et exige un paiement pour fournir la clé de déchiffrement ?,Un Ransomware (Rançongiciel),Un Spyware (Logiciel espion),Un Keylogger (Enregistreur de frappe),Un Adware (Logiciel publicitaire),Un Botnet,Un Virus de secteur d'amorçage
Qu'est-ce qu'un Honeypot (Pot de miel) ?,"Un système volontairement vulnérable mis en place pour attirer, observer et étudier les attaquants",Un serveur de sauvegarde crypté hors-ligne,Une faille de sécurité laissée par un développeur (Backdoor),Un mot de passe maître qui déverrouille tous les systèmes d'une entreprise,Le fait d'offrir une récompense pour la découverte d'une faille (Bug Bounty),Un réseau Wi-Fi public gratuit mais ultra-sécurisé
En quoi consiste le Social Engineering (Ingénierie sociale) ?,L'exploitation de la psychologie humaine pour manipuler des personnes et les pousser à divulguer des informations confidentielles,Le développement d'intelligences artificielles pour automatiser les piratages,La création de faux profils sur les réseaux sociaux pour faire de la publicité,L'analyse du comportement des employés par un logiciel espion,L'attaque physique des bâtiments d'une entreprise,L'ingénierie inversée des protocoles de communication de l'entreprise
Qu'est-ce qu'une vulnérabilité '0-day' (Zero-day) ?,Une faille logicielle exploitée par des pirates avant même que l'éditeur n'en ait connaissance ou n'ait publié de correctif,Un virus qui détruit l'ordinateur en moins de 24 heures,Une attaque menée le premier jour de l'année,Un piratage ne laissant aucune trace dans les logs du serveur,Un logiciel qui a été développé en une seule journée,Une faille qui permet de réinitialiser tous les mots de passe à zéro
Comment fonctionne un antivirus utilisant la méthode par 'signatures' ?,Il compare le code des fichiers scannés avec une base de données contenant les empreintes de malwares connus,Il analyse le comportement d'un programme lorsqu'il s'exécute pour voir s'il agit bizarrement,Il vérifie que le développeur du logiciel a signé numériquement son code avec une carte d'identité valide,Il efface tous les fichiers dont il ne connaît pas la provenance,Il demande à l'utilisateur de signer une charte de sécurité avant d'ouvrir la pièce jointe,Il envoie tous les nouveaux fichiers à la police pour analyse
Qu'est-ce que la stéganographie ?,L'art de dissimuler un message secret à l'intérieur d'un autre fichier anodin (comme une image ou un fichier audio),Le fait de chiffrer un texte pour qu'il ressemble à une suite de caractères aléatoires,L'utilisation de la biométrie pour déverrouiller un ordinateur,Une attaque consistant à injecter du code dans une image SVG,L'effacement sécurisé d'un disque dur en réécrivant des zéros partout,Le vol de documents physiques dans les poubelles d'une entreprise
"Lors d'un audit (Pentest), quelle est la première phase d'une attaque, appelée 'Reconnaissance' ou 'OSINT' ?",La collecte d'informations publiques sur la cible de manière passive (sans attaquer directement l'infrastructure),Le lancement d'un scan de ports très agressif avec Nmap,La tentative d'exploitation de la faille la plus critique trouvée,L'effacement des logs pour couvrir ses traces,Le vol de la base de données utilisateur via une injection SQL,L'élévation de privilèges sur un serveur compromis
