question                                                                                                    , bonne_reponse                                                                , mauvaise_reponse_1                           , mauvaise_reponse_2                        , mauvaise_reponse_3                        , mauvaise_reponse_4                          , reponse_trolle
"Quelle est la fonction principale d'un routeur ?"                                                          , "Diriger les paquets de données entre différents réseaux"                    , "Stocker les pages web visitées"             , "Nettoyer les fichiers temporaires"       , "Augmenter la vitesse du processeur"      , "Chiffrer le disque dur"                    , "La boîte poussiéreuse qu'on redémarre quand Netflix commence à pixeliser"
"Quel symbole utilise-t-on généralement pour désigner une id en CSS ?"                                      , "#"                                                                          , "."                                          , "@"                                       , "&"                                       , "*"                                         , "Le hashtag pour les gens qui ont du style"
"Qu'est-ce que l'adresse IP d'une machine ?"                                                                , "Un identifiant unique qui permet à une machine de communiquer sur un réseau", "Le mot de passe administrateur"             , "L'adresse postale du fabricant"          , "Le numéro de série de la carte graphique", "L'identifiant du compte Google"            , "La suite de chiffres que tu menaces de récupérer en ligne quand tu perds sur un jeu vidéo"
"Quel adolescent de silicium est souvent appelé le ""cerveau"" de l'ordinateur ?"                           , "Le CPU (Processeur)"                                                        , "Le disque dur"                              , "L'alimentation"                          , "La carte mère"                           , "Le ventilateur"                            , "La plaque de silicium qui chauffe tellement qu'elle pourrait te servir de chauffage en hiver"
"Que signifie l'acronyme CSS ?"                                                                             , "Cascading Style Sheets"                                                     , "Computer Style System"                      , "Creative Styling Sheets"                 , "Complex Style Syntax"                    , "Code Style Sheets"                         , "Le truc qui casse toute ta mise en page si tu bouges un bouton de 2 pixels"
"Quel navigateur web a pour logo un renard de feu entourant la Terre ?"                                     , "Firefox"                                                                    , "Chrome"                                     , "Safari"                                  , "Edge"                                    , "Opera"                                     , "Le dernier bastion des devs qui refusent l'hégémonie de Chromium"
"Quelle est l'extension standard d'un script écrit en Python ?"                                             , ".py"                                                                        , ".exe"                                       , ".js"                                     , ".txt"                                    , ".html"                                     , "Les deux lettres qui font tourner des modèles d'IA mais aussi des scripts cassés"
"À combien d'octets équivaut un kilo-octet (Ko) en informatique pure ?"                                     , "1024 octets"                                                                , "1000 octets"                                , "100 octets"                              , "8000 octets"                             , "64 octets"                                 , "La différence mathématique qui fait que ton disque dur de 1 To ne fait que 930 Go en vrai"
"Quel outil de messagerie est très populaire chez les développeurs et gamers ?"                             , "Discord"                                                                    , "Skype"                                      , "WhatsApp"                                , "Teams"                                   , "Slack"                                     , "L'endroit où le serveur de ta promo s'organise pour sécher les cours en ligne"
"Qu'est-ce que ""Le Cloud"" ?"                                                                              , "Des serveurs distants accessibles via Internet"                             , "Un réseau de satellites météo"              , "Un supercalculateur de la NASA"          , "Un type de clé USB sans fil"             , "Un algorithme d'intelligence artificielle" , "Juste l'ordinateur de quelqu'un d'autre"
"Quelle base de données utilise le langage SQL ?"                                                           , "Une base de données relationnelle"                                          , "Une base de données NoSQL"                  , "Un fichier texte simple"                 , "Un graphique de données"                 , "Un registre de blockchain"                 , "Le système de tables où un 'DROP DATABASE' peut te faire changer de pays"
"Que signifie l'acronyme URL ?"                                                                             , "Uniform Resource Locator"                                                   , "Universal Registry Link"                    , "User Remote Log"                         , "Unique Resource Line"                    , "Unified Resource Link"                     , "Le pavé dans la barre d'adresse que les grands-parents tapent directement dans la barre de recherche Google"
"Quel langage de programmation est principalement utilisé pour rendre les pages web interactives ?"         , "JavaScript"                                                                 , "HTML"                                       , "CSS"                                     , "SQL"                                     , "C++"                                       , "Le langage créé en 10 jours qui régit maintenant la moitié du monde logiciel"
"Quel est le rôle d'un pare-feu (Firewall) ?"                                                               , "Filtrer le trafic réseau pour bloquer les accès non autorisés"              , "Empêcher l'ordinateur de surchauffer"       , "Supprimer les spams de ta boîte mail"    , "Sauvegarder tes fichiers"                , "Accélérer la connexion Wi-Fi"              , "Le mur virtuel que le stagiaire désactive dès que son code ne marche pas"
"Quel est le raccourci universel pour annuler la dernière action ?"                                         , "Ctrl + Z"                                                                   , "Ctrl + Y"                                   , "Ctrl + A"                                , "Ctrl + S"                                , "Ctrl + N"                                  , "Le réflexe que tu aimerais tellement avoir dans la vraie vie après une mauvaise décision"
"Que signifie le terme ""Open Source"" ?"                                                                   , "Que le code source du logiciel est accessible et modifiable par tous"       , "Que le logiciel est obligatoirement gratuit", "Que le logiciel fonctionne sans internet", "Que le logiciel n'a pas de sécurité"     , "Que le logiciel appartient au gouvernement", "Du code maintenu bénévolement par un mec au Texas et utilisé par des multinationales"
"Qu'est-ce qu'une ""Clé USB"" ?"                                                                            , "Un support de stockage amovible"                                            , "Un composant pour décoder la Wi-Fi"         , "Un outil pour déverrouiller Windows"     , "Un mini ventilateur"                     , "Une clé de chiffrement réseau"             , "L'objet que tu essaies toujours d'insérer dans le mauvais sens du premier coup"
"Quel animal sert de mascotte officielle au système Linux ?"                                                , "Un pingouin (Tux)"                                                          , "Un gnou"                                    , "Un python"                               , "Un éléphant"                             , "Un dauphin"                                , "L'animal le plus respecté des administrateurs système"
"Que fait la combinaison Alt + F4 sous Windows ?"                                                           , "Ferme la fenêtre active"                                                    , "Augmente le volume"                         , "Ouvre le gestionnaire de tâches"         , "Rafraîchit la page"                      , "Active le mode avion"                      , "Le conseil bienveillant qu'on donne aux joueurs toxiques en ligne"
"Quel type de câble est couramment utilisé pour connecter un PC à un écran moderne en haute définition ?"   , "HDMI"                                                                       , "VGA"                                        , "RJ45"                                    , "Jack"                                    , "SATA"                                      , "Le câble que tu débranches et rebranches en priant quand l'écran reste noir"
"Qu'est-ce que le ""Phishing"" (Hameçonnage) ?"                                                             , "Une technique de fraude par email pour voler des données personnelles"      , "Un protocole de chiffrement des données"    , "Un jeu vidéo de simulation de pêche"     , "Un outil de nettoyage de disque"         , "Un framework de développement web"         , "Le mail de ""votre conseiller Ameli"" qui écrit avec 4 fautes d'orthographe par ligne"
"Quelle plateforme appartenant à Microsoft permet d'héberger et de partager des dépôts de code de projets ?", "GitHub"                                                                     , "GitLab"                                     , "Bitbucket"                               , "SourceForge"                             , "StackOverflow"                             , "Le réseau social des développeurs où on flex avec des carrés verts"
"Quel format de fichier image est connu pour supporter la transparence ?"                                   , "PNG"                                                                        , "JPEG"                                       , "BMP"                                     , "GIF"                                     , "TIFF"                                      , "Le format qui te trahit quand le fond blanc s'avère être un damier gris et blanc"
"Que signifie l'acronyme WI-FI ?"                                                                           , "Wireless Fidelity"                                                          , "Wide Network"                               , "Web Interface"                           , "Wired Fiber"                             , "Wireless Internet"                         , "La première chose que tu demandes en arrivant chez quelqu'un ou dans un Airbnb"
"Qu'est-ce qu'une ""Variable"" en programmation ?"                                                          , "Une boîte virtuelle pour stocker une valeur"                                , "Un bug intermittent"                        , "Une fonction mathématique complexe"      , "Un commentaire inutile"                  , "Un type de processeur"                     , "Le truc que tu nommes a, b puis temp_final_v2 quand tu as la flemme"
"Quel composant fournit l'énergie électrique nécessaire à tout l'ordinateur ?"                              , "L'alimentation (PSU)"                                                       , "La carte mère"                              , "La batterie CMOS"                        , "Le processeur"                           , "Le pont nord"                              , "Le bloc lourd qui fait un bruit d'avion de chasse si tu as pris du premier prix"
"Que signifie faire un ""Backup"" ?"                                                                        , "Créer une copie de sauvegarde de ses données"                               , "Accélérer le processeur"                    , "Supprimer l'historique web"              , "Changer le mot de passe"                 , "Compiler le code source"                   , "La chose qu'on oublie jusqu'au premier ralentissement en prod"
"Quel protocole est utilisé pour envoyer des courriels (emails) ?"                                          , "SMTP"                                                                       , "HTTP"                                       , "FTP"                                     , "DHCP"                                    , "IMAP"                                      , "Le protocole qui travaille en silence pendant que tu tries tes spams"
"Qu'est-ce que le ""Dual-Boot"" ?"                                                                          , "Installer deux systèmes d'exploitation différents sur la même machine"      , "Connecter deux souris en même temps"        , "Recharger son PC deux fois plus vite"    , "Utiliser deux cartes graphiques"         , "Avoir deux connexions Internet"            , "Avoir Linux pour bosser et Windows juste à côté pour lancer ses jeux"
"Quel terme désigne le fait de forcer un composant à tourner plus vite que sa vitesse d'usine ?"            , "L'overclocking"                                                             , "Le sur-rendement"                           , "Le boost matériel"                       , "Le tuning système"                       , "Le multi-threading"                        , "Transformer son PC en chauffage d'appoint pour gagner 4 FPS"
"Quelle balise HTML est utilisée pour insérer un lien hypertexte ?"                                         , "a"                                                                          , "link"                                       , "href"                                    , "url"                                     , "p"                                         , "La balise qui te permet de cacher des rickrolls un peu partout"
"Quel nom donne-t-on au logiciel qui permet d'explorer le web ?"                                            , "Un navigateur"                                                              , "Un moteur de recherche"                     , "Un serveur d'application"                , "Un explorateur de fichiers"              , "Analyseur de paquets"                      , "Le programme qui consomme 4 Go de RAM juste pour afficher la page d'accueil"
"Quelle est l'unité de mesure de la fréquence d'un processeur moderne ?"                                    , "Le Gigahertz (GHz)"                                                         , "Le Gigaoctet (Go)"                          , "Le Watt (W)"                             , "Le Volt (V)"                             , "Le Pixel (px)"                             , "Les chiffres magiques inscrits sur la boîte pour faire croire que ton PC va aller à la vitesse de la lumière"
"En programmation, par quel index commence généralement le premier élément d'un tableau ?"                  , "0"                                                                          , "1"                                          , "-1"                                      , "x"                                       , "null"                                      , "La raison pour laquelle tous les non-développeurs comptent de travers selon nous"
Qui as crée le macropad de l'ESIEA ?                                                                        , Goulven & Co                                                                 , Les minions de Mr Aubin                      , Le Hack                                   , Bonne question                            , Bonne Réponse                               , ln(a)
